Budget,Channel Group,Response,Region ,Country,Brand,Channel
2000,WinalotDigitalWinalot Great British Dogs Partnership,7805.433327,EUR,UK,Winalot,DigitalWinalot Great British Dogs Partnership
2000,FelixBVODNaturally Delicious,14512.86507,EUR,UK,Felix,BVODNaturally Delicious
2000,FelixYoutubeNaturally Delicious,154.3439459,EUR,UK,Felix,YoutubeNaturally Delicious
2000,FelixSocial FB IGFelix Treats,1871.673638,EUR,UK,Felix,Social FB IGFelix Treats
2000,FelixTVIGTBAC,9226.036782,EUR,UK,Felix,TVIGTBAC
2000,FelixShopmiumNaturally Delicious,25659.08741,EUR,UK,Felix,ShopmiumNaturally Delicious
2000,FelixSocial FB IGFelix PicknMix,3918.065231,EUR,UK,Felix,Social FB IGFelix PicknMix
2000,FelixSocial SnapchatFelix PicknMix,2255.663001,EUR,UK,Felix,Social SnapchatFelix PicknMix
2000,FelixProgrammatic DisplayNaturally Delicious,21480.1154,EUR,UK,Felix,Programmatic DisplayNaturally Delicious
2000,FelixSocial FB IGIGTBAC,12400.77808,EUR,UK,Felix,Social FB IGIGTBAC
2000,FelixProgrammatic VideoIGTBAC,1.491585727,EUR,UK,Felix,Programmatic VideoIGTBAC
2000,FelixBVODIGTBAC,74148.04539,EUR,UK,Felix,BVODIGTBAC
2000,FelixYouTubeIGTBAC,7510.806349,EUR,UK,Felix,YouTubeIGTBAC
2000,FelixSocial TikTokIGTBAC,7818.329495,EUR,UK,Felix,Social TikTokIGTBAC
2000,GourmetBVODGourmet Mon Petit,2440.610058,EUR,UK,Gourmet,BVODGourmet Mon Petit
2000,GourmetProgrammatic VideoGourmet Mon Petit,381.8138296,EUR,UK,Gourmet,Programmatic VideoGourmet Mon Petit
2000,GourmetSocial FB IGGourmet Mon Petit,142.4113747,EUR,UK,Gourmet,Social FB IGGourmet Mon Petit
2000,GourmetSocial PinterestGourmet Mon Petit,3811.600505,EUR,UK,Gourmet,Social PinterestGourmet Mon Petit
2000,GourmetTVGourmet Revelations,4.784146781,EUR,UK,Gourmet,TVGourmet Revelations
2000,GourmetShopmiumGourmet Mon Petit,3562.897947,EUR,UK,Gourmet,ShopmiumGourmet Mon Petit
2000,GourmetTVGourmet Mon Petit,3133.33548,EUR,UK,Gourmet,TVGourmet Mon Petit
2000,GourmetSocial FB IGGourmet Revelations,32.92645368,EUR,UK,Gourmet,Social FB IGGourmet Revelations
2000,GourmetSocial PinterestGourmet Revelations,4708.628553,EUR,UK,Gourmet,Social PinterestGourmet Revelations
2000,GourmetShopmiumGourmet Revelations,2.506912865,EUR,UK,Gourmet,ShopmiumGourmet Revelations
2000,GourmetBVODGourmet Revelations,72.99501477,EUR,UK,Gourmet,BVODGourmet Revelations
