Time_Period,Budget/Revenue,Value,Optimisation Type,Channel,Scenario
09/04/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
09/04/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
09/04/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
16/04/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
16/04/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
16/04/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
16/04/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
16/04/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
16/04/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
23/04/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
23/04/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
23/04/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
23/04/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
23/04/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
23/04/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
30/04/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
30/04/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
30/04/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
30/04/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
30/04/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
30/04/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
07/05/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
07/05/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
07/05/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
07/05/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
07/05/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
07/05/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
14/05/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
14/05/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
14/05/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
14/05/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
14/05/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
14/05/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
21/05/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
21/05/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
21/05/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
21/05/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
21/05/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
21/05/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
28/05/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
28/05/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
28/05/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
28/05/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
28/05/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
28/05/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
04/06/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
04/06/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
04/06/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
04/06/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
04/06/2023,Budget,5906.539296,Blended,BVOD,Actual Budget - Not Optimised
04/06/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
11/06/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
11/06/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
11/06/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
11/06/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
11/06/2023,Budget,5906.539296,Blended,BVOD,Actual Budget - Not Optimised
11/06/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
18/06/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
18/06/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
18/06/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
18/06/2023,Budget,31541.97164,Blended,Programmatic Video,Actual Budget - Not Optimised
18/06/2023,Budget,5906.539296,Blended,BVOD,Actual Budget - Not Optimised
18/06/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
25/06/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
25/06/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
25/06/2023,Budget,961.59,Blended,Shopmium,Actual Budget - Not Optimised
25/06/2023,Budget,31541.97164,Blended,Programmatic Video,Actual Budget - Not Optimised
25/06/2023,Budget,5906.539296,Blended,BVOD,Actual Budget - Not Optimised
25/06/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
02/07/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
02/07/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
02/07/2023,Budget,0,Blended,Shopmium,Actual Budget - Not Optimised
02/07/2023,Budget,31541.97164,Blended,Programmatic Video,Actual Budget - Not Optimised
02/07/2023,Budget,5906.539296,Blended,BVOD,Actual Budget - Not Optimised
02/07/2023,Budget,6238.015714,Blended,Social Pinterest,Actual Budget - Not Optimised
09/07/2023,Budget,0,Blended,TV,Actual Budget - Not Optimised
09/07/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
09/07/2023,Budget,0,Blended,Shopmium,Actual Budget - Not Optimised
09/07/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
09/07/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
09/07/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
22/01/2023,ST Revenue,68763.45098,Blended,TV,Actual Budget - Not Optimised
22/01/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
22/01/2023,ST Revenue,0,Blended,Shopmium,Actual Budget - Not Optimised
22/01/2023,ST Revenue,0,Blended,Programmatic Video,Actual Budget - Not Optimised
22/01/2023,ST Revenue,0,Blended,BVOD,Actual Budget - Not Optimised
22/01/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
29/01/2023,ST Revenue,89477.41737,Blended,TV,Actual Budget - Not Optimised
29/01/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
29/01/2023,ST Revenue,0,Blended,Shopmium,Actual Budget - Not Optimised
29/01/2023,ST Revenue,0,Blended,Programmatic Video,Actual Budget - Not Optimised
29/01/2023,ST Revenue,0,Blended,BVOD,Actual Budget - Not Optimised
29/01/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
05/02/2023,ST Revenue,96450.96426,Blended,TV,Actual Budget - Not Optimised
05/02/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
05/02/2023,ST Revenue,0,Blended,Shopmium,Actual Budget - Not Optimised
05/02/2023,ST Revenue,417.065995,Blended,Programmatic Video,Actual Budget - Not Optimised
05/02/2023,ST Revenue,145597.5645,Blended,BVOD,Actual Budget - Not Optimised
05/02/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
12/02/2023,ST Revenue,98892.85757,Blended,TV,Actual Budget - Not Optimised
12/02/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
12/02/2023,ST Revenue,22048.92388,Blended,Shopmium,Actual Budget - Not Optimised
12/02/2023,ST Revenue,485.3788365,Blended,Programmatic Video,Actual Budget - Not Optimised
12/02/2023,ST Revenue,191342.3633,Blended,BVOD,Actual Budget - Not Optimised
12/02/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
19/02/2023,ST Revenue,99759.9949,Blended,TV,Actual Budget - Not Optimised
19/02/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
19/02/2023,ST Revenue,28398.91294,Blended,Shopmium,Actual Budget - Not Optimised
19/02/2023,ST Revenue,492.2075068,Blended,Programmatic Video,Actual Budget - Not Optimised
19/02/2023,ST Revenue,205637.5247,Blended,BVOD,Actual Budget - Not Optimised
19/02/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
26/02/2023,ST Revenue,100069.4693,Blended,TV,Actual Budget - Not Optimised
26/02/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
26/02/2023,ST Revenue,30289.10743,Blended,Shopmium,Actual Budget - Not Optimised
26/02/2023,ST Revenue,492.8903477,Blended,Programmatic Video,Actual Budget - Not Optimised
26/02/2023,ST Revenue,210635.9905,Blended,BVOD,Actual Budget - Not Optimised
26/02/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
05/03/2023,ST Revenue,100180.1164,Blended,TV,Actual Budget - Not Optimised
05/03/2023,ST Revenue,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
