Time_Period,Bvod,CTV,Display,Facebook,Instagram,NBC WG BVOD,NBC WG Social,NBC WG TV,NBC WG VOD,NBC WG display,NBC digital,NBC ppc,NBC social,NBD WG YT,PPC,Sponsorship,TV,Vod,YT
2021-01-16,0.0001373703077526129,0.0,0.0,0.0,0.0,18246.618806355495,4.531161982963994,94796.00826974661,0.0002174896154720895,0.017516424216317963,0.0,0.0,0.0,8270.604905113836,120623.83656751213,11.214330928859052,0.0001508908672311774,0.0,0.0
2021-01-23,5.0936212233782145e-05,0.0,0.0,0.0,0.0,13140.629794608893,1.8426474744319479,95909.79846145553,9.49294825850658e-05,0.007567427145146048,0.0,0.0,0.0,7545.730804663764,134282.1160798609,6.83861301218586,5.827248096606537e-05,0.0,0.0
2021-01-30,2.4174308856672397e-05,0.0,0.0,0.0,0.0,7664.453615393925,0.7479873278975662,22657.425558204388,4.430339367247903e-05,0.003276398929555473,0.0,0.0,0.0,8167.561476054871,88337.59893641085,4.4671934530244215,2.3275088802170553e-05,0.0,0.0
2021-02-06,7.114157070809449e-06,0.0,0.0,8744.706797856885,26120.549376610114,1244.7742700145914,0.2611196843656981,4024.0053398055234,1.6073823126725434e-05,0.0012204238235664776,0.0,0.0,0.0,1299.5623322333995,55956.369013318166,2.2870327808701454,7.4773647383966236e-06,0.0,0.0
2021-02-13,2.197450175273999e-06,0.0,0.0,16532.514295979963,34184.089773672276,242.29441831786363,0.10055867408642012,883.6158960252935,6.15628992378385e-06,0.0004602605265969172,0.0,0.0,0.0,243.15991682140327,28144.312329292257,1.1858575875665769,21328.537061076746,0.0,0.0
2021-02-20,1342.560169763231,0.0,6710.328830478249,17259.310982054485,37812.339204355514,63.6581252940876,7061.9716773175,261.19390347909996,2.5054084880777767e-06,0.00018286479537592683,0.0,0.0,0.0,61.1841796491841,12422.69614917734,0.7774497014090405,23611.320889472787,128.60791413955684,182.46668077447993
2021-02-27,4164.28841781692,0.0,30000.2374686899,13921.317770972393,32820.041888717926,16.454382435025053,9719.93572858048,70.4408133508695,7.842805355936423e-07,6.712327099609705e-05,0.0,6300.578856224502,26617.748609259514,15.55832021932245,5885.437160922687,0.5574466576251488,26409.048125725356,466.97713836440914,4759.4680206923595
2021-03-06,7447.298985757957,0.0,39482.870623897354,21137.28056222616,38038.453065178015,5.56525783685901,2051.3777870154727,25.544820642909034,3.6760343077603415e-07,4.0707610830629575e-05,0.0,8613.924651756693,38438.27527593605,5.08626916068814,2511.7194043723134,0.39019032832972034,16519.028186549065,857.8431876797617,18700.551111271598
2021-03-13,8028.879604909358,0.0,47214.50785416474,23342.049965187885,38372.91737574524,1.8707124687228829,403.0981002163187,9.212219491518448,1.518827479468593e-07,1.8448826506139753e-05,0.0,7915.584120725307,42931.58310516715,1.6472335039325505,678.3027211900288,0.22607148195426427,20961.124919874932,831.9746764282771,28311.97618086048
2021-03-20,6903.713770600495,0.0,34399.739113860334,20352.250515879146,32358.85392347719,0.5056489610285793,87.06471494779645,2.537203445270583,4.276295730018718e-08,5.4227498693131635e-06,0.0,6526.494583089502,10090.107624048656,0.4406188520032163,175.57555419276028,0.12677199136282788,9802.487926053787,928.9301021679548,25780.32503160249
2021-03-27,6030.77685441948,0.0,63155.30258126747,12525.064785808261,24673.17546775062,0.12747258082311078,20.682087342496366,0.5981851932066179,9.378109033001598e-09,7.969877052290999e-07,0.0,6805.964937950407,2083.1665240484863,0.11489411079469042,46.198853921306664,0.07321073353722199,18812.947712414916,1168.0522857418223,25035.86474471504
2021-04-03,6421.257296029416,0.0,69894.03007186562,5421.850755399895,10794.957077351586,0.031027508982601364,5.155302510020767,0.13686914128949243,2.121222670859216e-09,1.6652247872365852e-07,0.0,7785.272700020737,8661.355558930634,0.028741393164700976,13.909178186481505,0.048351729596714355,10366.000430231576,1345.042356205457,28124.742072277564
2021-04-10,5064.202263248488,0.0,17984.453375242225,2821.8077157870807,5610.103990314187,0.009259358553106998,1.5125123184940987,0.038544660005330134,6.271548745647379e-10,5.827003798078838e-08,0.0,9037.536074462821,44093.734702473455,0.008766163147821214,4.863483310647668,0.04265446294850981,4762.979602255979,1373.3582998711634,29824.73591479329
2021-04-17,1567.7222017805807,0.0,4257.720471180753,1147.1672759125343,2249.241086581055,0.00118516397712046,0.2767393021784079,0.004125842481285963,6.539294000661955e-11,8.107847921607382e-09,0.0,8686.99460345532,61221.97001705526,0.0011928225114124047,1.52254777740571,0.024683826761064516,1651.9633643573657,346.3795409359349,12361.499068808942
2021-04-24,406.3604033206252,0.0,1060.9295068992067,4708.847914625061,20302.403568814974,0.00023636647242958995,0.05446375906847012,0.0007829328816342059,1.20146781726434e-11,1.1835332725150156e-09,0.0,7114.169493931358,53161.16484442005,0.00024137817853754165,1704.0263395833463,0.004265349010814011,441.863030492108,86.49821876623348,4919.99911551375
2021-05-01,142.3135291673151,0.0,328.9893599979351,15395.757322052043,43757.15773409219,7.990326108744978e-05,0.0147066878025457,0.0003014815913548299,4.721364980210485e-12,3.5031523169443103e-10,0.0,7765.513981366504,15846.234663882304,7.822776373952163e-05,2246.2130595889457,0.0016523256590011616,19172.25238487142,30.541673363011913,2642.4085143400866
2021-05-08,1695.7591654814557,0.0,108.62880348147993,13801.432679238194,48750.14070997198,2.3651319986209985e-05,0.004230134952363754,8.787219266369137e-05,1.4278970120217358e-12,1.0528378718097587e-10,0.0,8744.355305159943,4617.809804859452,2.3249452300196344e-05,1829.1501163604332,0.0006959443457920958,21896.094960754184,720.1528137654228,2083.5594842465507
2021-05-15,4997.354478602082,0.0,36.091460681353986,14576.34635143863,50676.045581494414,7.239790259337893e-06,0.0014915193081632147,2.0793869603359898e-05,2.754701491530136e-13,2.3114511903535372e-11,0.0,9268.790937070193,1275.6162920931456,7.672708474087631e-06,1555.4632790432875,0.0003783902641708353,25025.318320599075,3806.4606955085337,14727.679868363926
2021-05-22,7786.54412908478,0.0,20319.02019492465,17211.970945023786,54911.870109663425,3.027414193352499e-06,0.00045629493274400534,1.0720360546949932e-05,1.2826356018737346e-13,1.119261742164719e-11,0.0,4955.940399087147,349.67165394389957,3.0174886764823504e-06,1389.6462009857364,0.00016862772737425265,13289.466430081498,9259.413138709768,23505.184577755783
2021-05-29,9403.56222388373,0.0,29765.91379352904,17881.791693617753,58733.69384165545,8.938215433008985e-07,0.00012588604767573195,3.3216585034358656e-06,0.0,3.726361918407231e-12,0.0,3225.6553471716916,93.7626117926569,8.772230740708725e-07,1280.742342941766,8.614562507233468e-05,19419.550555540372,14202.767428111692,24431.480218467055
2021-06-05,8142.758820680381,0.0,29064.427900543407,11341.699725165525,47953.757793095945,1.6674291278623557e-07,3.3586791754285594e-05,4.5759166851732566e-07,0.0,8.168185809594783e-13,0.0,2572.99323212464,25.547240346392023,1.7811605113165262e-07,1023.7155516800818,5.722776547080927e-05,9365.56710138035,15573.583895037487,24140.341537309356
2021-06-12,7693.964480269648,0.0,28711.34427953379,4741.517366516074,26236.00284826178,3.344818094114514e-08,8.382623733553016e-06,7.887617160025263e-08,0.0,2.1221859973778443e-13,0.0,2734.803513477141,7.727090223946742,3.686863241069031e-08,917.5579570028024,3.522383041437751e-05,21155.940083236506,16386.771415320007,26857.004725470317
2021-06-19,7995.046666262673,0.0,28801.187842708725,1801.3127125000062,9846.32578872344,8.44029417964621e-09,2.474314574790413e-06,1.6881790138050235e-08,0.0,3.682061428666259e-14,0.0,2558.474213502369,2.3645265750406677,9.58893957921259e-09,977.6911337730452,1.726827999745215e-05,12008.829784298297,17012.137233665497,25702.496136159145
2021-06-26,5653.591469999247,0.0,9823.235565850055,796.9851637001653,4223.298757323071,2.6029872154111506e-09,7.324211212921039e-07,5.7439409072041105e-09,0.0,1.4078783309760754e-14,0.0,3073.7428522595924,0.7037005890455349,2.9075077578910335e-09,993.6808773345479,14505.309386665067,5841.053892927459,12667.082453218176,23699.983446911087
2021-07-03,2154.499133343075,0.0,2434.0826220606973,428.81963636625545,2197.6108692448215,9.377878928012143e-10,2.3545296572750722e-07,2.4232374374409937e-09,0.0,1.352682485179449e-14,0.0,3187.0172308198394,0.22021745440436102,1.0209814990059822e-09,855.4812361919248,39001.53997181401,2505.737744898033,6061.852198329479,11790.157669334698
2021-07-10,648.4028908767908,0.0,629.3791910333778,262.98738412775765,1320.231357344949,3.7285116767085016e-10,1.006319345109891e-07,8.714483740770654e-10,0.0,0.0,0.0,2984.8458087860226,0.05473060687753453,4.0751922336328354e-10,807.6338453256784,49351.03858630799,995.5931318366977,1945.8092686642563,4729.451947625161
2021-07-17,184.7668806582877,0.0,163.89616688930275,138.733638012568,692.3597297377313,1.5124468794562415e-10,3.092561591905216e-08,4.819622172889768e-10,0.0,0.0,0.0,3705.165760819771,0.011954986881729754,1.4683190437167186e-10,754.808006129646,51214.755945112505,370.1155369476061,559.6100860480723,1957.5606931160476
2021-07-24,62.26000457693596,0.0,48.99491799977216,82.19949347134735,409.0187975860718,5.3639872563983295e-11,9.689976234626614e-09,1.9420845204765603e-10,0.0,0.0,0.0,3261.109998508909,0.00210572634923759,4.7699260300242354e-11,826.4070955877856,61504.610815814245,160.12439921792688,188.4398946493078,980.0992646442099
2021-07-31,20.066048436042106,0.0,14.675413351248041,50.67985433691323,251.46898356114752,1.471553432193767e-11,3.0735987809146853e-09,6.601419532488179e-11,0.0,0.0,0.0,3159.116991845086,-0.0003480405242557507,1.251561230956369e-11,1045.3364493543543,63391.04406039063,61.5234539016128,60.46911690224804,480.7252191464833
