index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
86,870000,Facebook,5503.182871943876,Mexico,Nesquik,Social
87,880000,Facebook,5503.182871943876,Mexico,Nesquik,Social
88,890000,Facebook,5503.182871943876,Mexico,Nesquik,Social
89,900000,Facebook,5503.182871943876,Mexico,Nesquik,Social
90,910000,Facebook,5503.182871943876,Mexico,Nesquik,Social
91,920000,Facebook,5503.182871943876,Mexico,Nesquik,Social
92,930000,Facebook,5503.182871943876,Mexico,Nesquik,Social
93,940000,Facebook,5503.182871943876,Mexico,Nesquik,Social
94,950000,Facebook,5503.182871943876,Mexico,Nesquik,Social
95,960000,Facebook,5503.182871943876,Mexico,Nesquik,Social
96,970000,Facebook,5503.182871943876,Mexico,Nesquik,Social
97,980000,Facebook,5503.182871943876,Mexico,Nesquik,Social
98,990000,Facebook,5503.182871943876,Mexico,Nesquik,Social
99,1000000,Facebook,5503.182871943876,Mexico,Nesquik,Social
100,1010000,Facebook,5503.182871943876,Mexico,Nesquik,Social
101,1020000,Facebook,5503.182871943876,Mexico,Nesquik,Social
102,1030000,Facebook,5503.182871943876,Mexico,Nesquik,Social
103,1040000,Facebook,5503.182871943876,Mexico,Nesquik,Social
104,1050000,Facebook,5503.182871943876,Mexico,Nesquik,Social
105,1060000,Facebook,5503.182871943876,Mexico,Nesquik,Social
106,1070000,Facebook,5503.182871943876,Mexico,Nesquik,Social
107,1080000,Facebook,5503.182871943876,Mexico,Nesquik,Social
108,1090000,Facebook,5503.182871943876,Mexico,Nesquik,Social
109,1100000,Facebook,5503.182871943876,Mexico,Nesquik,Social
110,1110000,Facebook,5503.182871943876,Mexico,Nesquik,Social
111,1120000,Facebook,5503.182871943876,Mexico,Nesquik,Social
112,1130000,Facebook,5503.182871943876,Mexico,Nesquik,Social
113,1140000,Facebook,5503.182871943876,Mexico,Nesquik,Social
114,1150000,Facebook,5503.182871943876,Mexico,Nesquik,Social
115,1160000,Facebook,5503.182871943876,Mexico,Nesquik,Social
116,1170000,Facebook,5503.182871943876,Mexico,Nesquik,Social
117,1180000,Facebook,5503.182871943876,Mexico,Nesquik,Social
118,1190000,Facebook,5503.182871943876,Mexico,Nesquik,Social
119,1200000,Facebook,5503.182871943876,Mexico,Nesquik,Social
120,1210000,Facebook,5503.182871943876,Mexico,Nesquik,Social
121,1220000,Facebook,5503.182871943876,Mexico,Nesquik,Social
