index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
86,870000,Facebook,59285.37103386219,Mexico,Nesquik,Social
87,880000,Facebook,59476.372773816925,Mexico,Nesquik,Social
88,890000,Facebook,59662.715673505,Mexico,Nesquik,Social
89,900000,Facebook,59844.51336954898,Mexico,Nesquik,Social
90,910000,Facebook,60021.876726791044,Mexico,Nesquik,Social
91,920000,Facebook,60194.91390590121,Mexico,Nesquik,Social
92,930000,Facebook,60363.730429336414,Mexico,Nesquik,Social
93,940000,Facebook,60528.42924569083,Mexico,Nesquik,Social
94,950000,Facebook,60689.11079247647,Mexico,Nesquik,Social
95,960000,Facebook,60845.87305737259,Mexico,Nesquik,Social
96,970000,Facebook,60998.81163798101,Mexico,Nesquik,Social
97,980000,Facebook,61148.01980012396,Mexico,Nesquik,Social
98,990000,Facebook,61293.58853471997,Mexico,Nesquik,Social
99,1000000,Facebook,61435.60661327243,Mexico,Nesquik,Social
100,1010000,Facebook,61574.16064200466,Mexico,Nesquik,Social
101,1020000,Facebook,61709.33511467463,Mexico,Nesquik,Social
102,1030000,Facebook,61841.2124641014,Mexico,Nesquik,Social
103,1040000,Facebook,61969.87311243469,Mexico,Nesquik,Social
104,1050000,Facebook,62095.39552019839,Mexico,Nesquik,Social
105,1060000,Facebook,62217.85623413776,Mexico,Nesquik,Social
106,1070000,Facebook,62337.329933899564,Mexico,Nesquik,Social
107,1080000,Facebook,62453.88947757364,Mexico,Nesquik,Social
108,1090000,Facebook,62567.605946123585,Mexico,Nesquik,Social
109,1100000,Facebook,62678.548686733746,Mexico,Nesquik,Social
110,1110000,Facebook,62786.785355098844,Mexico,Nesquik,Social
111,1120000,Facebook,62892.38195668221,Mexico,Nesquik,Social
112,1130000,Facebook,62995.402886967546,Mexico,Nesquik,Social
113,1140000,Facebook,63095.91097072888,Mexico,Nesquik,Social
114,1150000,Facebook,63193.9675003428,Mexico,Nesquik,Social
115,1160000,Facebook,63289.63227316601,Mexico,Nesquik,Social
116,1170000,Facebook,63382.96362800133,Mexico,Nesquik,Social
117,1180000,Facebook,63474.01848067415,Mexico,Nesquik,Social
118,1190000,Facebook,63562.852358741155,Mexico,Nesquik,Social
119,1200000,Facebook,63649.519435352435,Mexico,Nesquik,Social
120,1210000,Facebook,63734.07256228762,Mexico,Nesquik,Social
121,1220000,Facebook,63816.56330218628,Mexico,Nesquik,Social
122,1230000,Facebook,63897.04195999209,Mexico,Nesquik,Social
123,1240000,Facebook,63975.55761363008,Mexico,Nesquik,Social
124,1250000,Facebook,64052.1581439356,Mexico,Nesquik,Social
125,1260000,Facebook,64126.89026385324,Mexico,Nesquik,Social
126,1270000,Facebook,64199.7995469236,Mexico,Nesquik,Social
127,1280000,Facebook,64270.93045507516,Mexico,Nesquik,Social
128,1290000,Facebook,64340.32636573834,Mexico,Nesquik,Social
129,1300000,Facebook,64408.02959829809,Mexico,Nesquik,Social
130,1310000,Facebook,64474.081439901354,Mexico,Nesquik,Social
131,1320000,Facebook,64538.522170635064,Mexico,Nesquik,Social
132,1330000,Facebook,64601.391088089855,Mexico,Nesquik,Social
133,1340000,Facebook,64662.72653132486,Mexico,Nesquik,Social
134,1350000,Facebook,64722.56590424769,Mexico,Nesquik,Social
135,1360000,Facebook,64780.94569842444,Mexico,Nesquik,Social
136,1370000,Facebook,64837.901515333055,Mexico,Nesquik,Social
137,1380000,Facebook,64893.46808807406,Mexico,Nesquik,Social
138,1390000,Facebook,64947.67930255171,Mexico,Nesquik,Social
139,1400000,Facebook,65000.5682181384,Mexico,Nesquik,Social
140,1410000,Facebook,65052.16708783517,Mexico,Nesquik,Social
141,1420000,Facebook,65102.50737794041,Mexico,Nesquik,Social
142,1430000,Facebook,65151.61978723873,Mexico,Nesquik,Social
143,1440000,Facebook,65199.53426572194,Mexico,Nesquik,Social
144,1450000,Facebook,65246.280032853276,Mexico,Nesquik,Social
145,1460000,Facebook,65291.88559538617,Mexico,Nesquik,Social
146,1470000,Facebook,65336.378764748384,Mexico,Nesquik,Social
147,1480000,Facebook,65379.78667400217,Mexico,Nesquik,Social
148,1490000,Facebook,65422.135794390626,Mexico,Nesquik,Social
149,1500000,Facebook,65463.45195148058,Mexico,Nesquik,Social
150,1510000,Facebook,65503.760340911664,Mexico,Nesquik,Social
151,1520000,Facebook,65543.08554376125,Mexico,Nesquik,Social
152,1530000,Facebook,65581.45154153464,Mexico,Nesquik,Social
153,1540000,Facebook,65618.88173078952,Mexico,Nesquik,Social
154,1550000,Facebook,65655.39893740388,Mexico,Nesquik,Social
155,1560000,Facebook,65691.02543049573,Mexico,Nesquik,Social
156,1570000,Facebook,65725.78293600341,Mexico,Nesquik,Social
157,1580000,Facebook,65759.6926499346,Mexico,Nesquik,Social
158,1590000,Facebook,65792.77525129222,Mexico,Nesquik,Social
159,1600000,Facebook,65825.05091468492,Mexico,Nesquik,Social
160,1610000,Facebook,65856.53932263021,Mexico,Nesquik,Social
161,1620000,Facebook,65887.25967755723,Mexico,Nesquik,Social
162,1630000,Facebook,65917.23071351692,Mexico,Nesquik,Social
163,1640000,Facebook,65946.47070760654,Mexico,Nesquik,Social
164,1650000,Facebook,65974.9974911155,Mexico,Nesquik,Social
165,1660000,Facebook,66002.82846039931,Mexico,Nesquik,Social
166,1670000,Facebook,66029.98058748833,Mexico,Nesquik,Social
167,1680000,Facebook,66056.47043043775,Mexico,Nesquik,Social
168,1690000,Facebook,66082.3141434251,Mexico,Nesquik,Social
169,1700000,Facebook,66107.52748660152,Mexico,Nesquik,Social
170,1710000,Facebook,66132.12583570264,Mexico,Nesquik,Social
171,1720000,Facebook,66156.12419142507,Mexico,Nesquik,Social
172,1730000,Facebook,66179.53718857434,Mexico,Nesquik,Social
173,1740000,Facebook,66202.37910498944,Mexico,Nesquik,Social
174,1750000,Facebook,66224.66387024986,Mexico,Nesquik,Social
175,1760000,Facebook,66246.4050741702,Mexico,Nesquik,Social
176,1770000,Facebook,66267.61597508755,Mexico,Nesquik,Social
177,1780000,Facebook,66288.30950794686,Mexico,Nesquik,Social
178,1790000,Facebook,66308.49829218887,Mexico,Nesquik,Social
179,1800000,Facebook,66328.19463944584,Mexico,Nesquik,Social
180,1810000,Facebook,66347.41056104946,Mexico,Nesquik,Social
181,1820000,Facebook,66366.15777535572,Mexico,Nesquik,Social
182,1830000,Facebook,66384.44771489098,Mexico,Nesquik,Social
183,1840000,Facebook,66402.29153332388,Mexico,Nesquik,Social
184,1850000,Facebook,66419.70011226708,Mexico,Nesquik,Social
185,1860000,Facebook,66436.68406791323,Mexico,Nesquik,Social
186,1870000,Facebook,66453.25375750886,Mexico,Nesquik,Social
187,1880000,Facebook,66469.41928567062,Mexico,Nesquik,Social
188,1890000,Facebook,66485.19051054724,Mexico,Nesquik,Social
189,1900000,Facebook,66500.57704983132,Mexico,Nesquik,Social
190,1910000,Facebook,66515.58828662445,Mexico,Nesquik,Social
191,1920000,Facebook,66530.23337515924,Mexico,Nesquik,Social
192,1930000,Facebook,66544.52124638182,Mexico,Nesquik,Social
193,1940000,Facebook,66558.46061339814,Mexico,Nesquik,Social
194,1950000,Facebook,66572.05997678747,Mexico,Nesquik,Social
195,1960000,Facebook,66585.32762978623,Mexico,Nesquik,Social
196,1970000,Facebook,66598.27166334545,Mexico,Nesquik,Social
197,1980000,Facebook,66610.89997106483,Mexico,Nesquik,Social
198,1990000,Facebook,66623.22025400645,Mexico,Nesquik,Social
