Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: Mexico brand: Nesquik budget: 4800000,4799999.999999343,1130098.464679507,1567406.1196501292,2697504.5843296363,2151575.244169201,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 4900000,4899999.999992109,1145406.2327057696,1581479.4382876067,2726885.6709933765,2151621.004038951,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 500000,500000.00000000006,305195.48216888314,532141.1568108161,837336.6389796992,1308403.9064750455,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 5000000,4999999.99999845,1160754.3018491445,1594913.7337538095,2755668.035602954,2151658.9471919155,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 5100000,5100000.000000057,1176138.132124759,1607758.361623864,2783896.493748623,2151690.4088823553,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 5200000,5199999.999998657,1189107.6721185213,1622286.1891990604,2811393.8613175815,2151716.496275943,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 5300000,5299999.999997854,1201259.3372709928,1636469.065976891,2837728.4032478835,2151738.127411928,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 5400000,5399999.999999415,1213363.1899225677,1649632.2542493886,2862995.4441719563,2151756.0635097767,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 600000,600000.0000060935,325042.0376850194,591026.8805228565,916068.9182078759,1452480.4861187644,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 700000,700000.0,344880.64932214184,645600.1822847781,990480.8316069199,1571945.8545414936,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 800000,800000.0000000002,364711.3098650551,696287.374735262,1060998.6846003172,1671004.107384315,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 900000,900000.0000000059,384533.9797292402,743466.3128058681,1128000.2925351083,1753141.1951878318,Mexico,Nesquik
region: Germany brand: Nesquik budget: 100000,100000.00000001148,108058.15024584539,192495.88170205866,300554.03194790403,639607.0707154264,Germany,Nesquik
region: Germany brand: Nesquik budget: 1000000,999999.9999999952,676189.3632931934,895953.5403689122,1572142.9036621056,1682375.2970649695,Germany,Nesquik
region: Germany brand: Nesquik budget: 1100000,1100000.0,711172.379251496,952592.6847779979,1663765.0640294938,1688025.0441135585,Germany,Nesquik
region: Germany brand: Nesquik budget: 1200000,1200000.0000000005,742521.1618146526,1006723.7889057136,1749244.950720366,1691545.8378159076,Germany,Nesquik
region: Germany brand: Nesquik budget: 1300000,1299999.9999999953,770674.9990830189,1058534.2426663802,1829209.241749399,1693739.9162742689,Germany,Nesquik
region: Germany brand: Nesquik budget: 1400000,1400000.0000000047,796032.4298730025,1108170.2944829052,1904202.7243559076,1695107.2160050753,Germany,Nesquik
region: Germany brand: Nesquik budget: 1500000,1499999.9999999483,818935.1996384815,1155765.4746365962,1974700.6742750776,1695959.2860606092,Germany,Nesquik
region: Germany brand: Nesquik budget: 1600000,1600000.0000000002,839394.096328849,1201680.1368332228,2041074.2331620718,1696490.2767155338,Germany,Nesquik
region: Germany brand: Nesquik budget: 1700000,1699999.9999999262,858316.4818166229,1243799.6216156706,2102116.1034322935,1696821.1779997475,Germany,Nesquik
region: Germany brand: Nesquik budget: 1800000,1800000.0000000005,872591.9691622488,1281838.9780313293,2154430.947193578,1697027.388144652,Germany,Nesquik
region: Germany brand: Nesquik budget: 1900000,1900000.0000000107,883344.5994839363,1316344.3611535016,2199688.960637438,1697155.8936110549,Germany,Nesquik
